mr,range_change,range_percent_change,range_passed
SmokeRelation,0.0008183717727661133,0.05021002495566178,True
SnowRelation,0.001223921775817871,0.07509196303274282,True
TranslationRelation,0.0001823902130126953,0.011190289611385655,True
BlurRelation,7.343292236328125e-05,0.004504235608500166,True
BrightnessRelation,0.004531979560852051,0.27798299533823184,True
CompositeRelation,0.006766319274902344,0.415033138211801,True
ContrastRelation,0.00034224987030029297,0.020992955246759704,True
DarkVisibilityRelation,0.0009343624114990234,0.0573120108756888,True
DustRelation,0.0048980712890625,0.30043836474359553,True
FogRelation,0.0011115074157714844,0.06817774807411615,True
GlobalBlurRelation,0.0006660223007202148,0.04085253952060135,True
GlobalBrightnessRelation,0.003075838088989258,0.1886660506014956,True
GlobalContrastRelation,0.0015587806701660156,0.09561263768952626,True
GlobalNoiseRelation,0.0014088153839111328,0.08641405263190742,True
GlobalRotationRelation,0.008069992065429688,0.49499794440426503,True
GlobalTranslationRelation,0.005125284194946289,0.31437517167509116,True
HazeRelation,0.001096487045288086,0.06725642715419566,True
NoiseRelation,0.00034630298614501953,0.021241565653722375,True
RainRelation,0.006001949310302734,0.3681481402869584,True
RotationRelation,0.00013756752014160156,0.008438129695144791,True
SandstormRelation,0.0015853643417358398,0.09724322947636965,True
SmokeRelation,0.0004373788833618164,0.026827987739589467,True
SnowRelation,0.001269221305847168,0.07785161773328128,True
TranslationRelation,0.00014352798461914062,0.00880373323479578,True
BlurRelation,0.0002511739730834961,0.015350581503258465,True
BrightnessRelation,0.004531979560852051,0.27697344898404225,True
CompositeRelation,0.006766319274902344,0.4135258690673709,True
ContrastRelation,0.00043833255767822266,0.026788841095150152,True
DarkVisibilityRelation,0.0009343624114990234,0.05710387177149494,True
DustRelation,0.0048980712890625,0.2993472675870355,True
FogRelation,0.0007711648941040039,0.04713000082799194,True
GlobalBlurRelation,0.0004955530166625977,0.030285888613690286,True
GlobalBrightnessRelation,0.0036519765853881836,0.22319177235516044,True
GlobalContrastRelation,0.004086136817932129,0.24972562040208368,True
GlobalNoiseRelation,0.0008512735366821289,0.052025867353948124,True
GlobalRotationRelation,0.004218459129333496,0.2578125427887078,True
GlobalTranslationRelation,0.0030105113983154297,0.18398841256919282,True
HazeRelation,0.002416372299194336,0.14767740250168443,True
NoiseRelation,0.00027620792388916016,0.016880539792619772,True
RainRelation,0.006001949310302734,0.3668111426322056,True
RotationRelation,0.00022220611572265625,0.013580201196997523,True
SandstormRelation,0.001513361930847168,0.09248962134972293,True
SmokeRelation,0.0033609867095947266,0.20540782862025114,True
SnowRelation,0.0015139579772949219,0.09252604892804105,True
TranslationRelation,0.00024008750915527344,0.014673028546541313,True
BlurRelation,6.532669067382812e-05,0.003996066532110297,True
BrightnessRelation,0.004531979560852051,0.2772234696190459,True
CompositeRelation,0.006766319274902344,0.41389915394631477,True
ContrastRelation,0.00034224987030029297,0.02093559674030778,True
DarkVisibilityRelation,0.0024498701095581055,0.14985978704634803,True
DustRelation,0.004570126533508301,0.2795569391268476,True
FogRelation,0.0011115074157714844,0.0679914677835701,True
GlobalBlurRelation,0.0006660223007202148,0.040740919187774144,True
GlobalBrightnessRelation,0.003075838088989258,0.18815056325093046,True
GlobalContrastRelation,0.0015587806701660156,0.09535139776254424,True
GlobalNoiseRelation,0.0007799863815307617,0.04771215934233153,True
GlobalRotationRelation,0.0038927793502807617,0.23812327117894483,True
GlobalTranslationRelation,0.003979086875915527,0.24340274594034603,True
HazeRelation,0.0026483535766601562,0.16200112057912838,True
NoiseRelation,0.00015985965728759766,0.009778695656131221,True
RainRelation,0.006001949310302734,0.3671422586837395,True
RotationRelation,0.0001462697982788086,0.008947397143976889,True
SandstormRelation,0.001513361930847168,0.09257311062981793,True
SmokeRelation,0.0013419389724731445,0.08208708202913434,True
SnowRelation,0.0015139579772949219,0.09260957109087734,True
TranslationRelation,0.0010955333709716797,0.06701432742717817,True
DarkVisibilityRelation,0.0009343624114990234,0.05715541875671626,True
BlurRelation,0.000278472900390625,0.017049363336502185,True
BrightnessRelation,0.003336668014526367,0.20428582182735283,True
CompositeRelation,0.004559755325317383,0.27916872757757216,True
ContrastRelation,0.0005850791931152344,0.03582117947583593,True
DarkVisibilityRelation,0.0024498701095581055,0.149992065894031,True
DustRelation,0.0020951032638549805,0.12827164410917205,True
FogRelation,0.001607060432434082,0.09839146709733988,True
GlobalBlurRelation,0.00034415721893310547,0.021070852719384338,True
GlobalBrightnessRelation,0.006648540496826172,0.4070535496589897,True
GlobalContrastRelation,0.002085089683532715,0.12765856768782521,True
GlobalNoiseRelation,0.0008840560913085938,0.054125889770333994,True
GlobalRotationRelation,0.005736112594604492,0.35119061002817303,True
GlobalTranslationRelation,0.0020585060119628906,0.1260309957597259,True
HazeRelation,0.0005265474319458008,0.03223760182248722,True
NoiseRelation,0.00019669532775878906,0.01204257256216978,True
RainRelation,0.005228519439697266,0.32011347428894943,True
RotationRelation,0.00013756752014160156,0.008422502264693288,True
SandstormRelation,0.0010389089584350586,0.06360667871473312,True
SmokeRelation,0.0011404752731323242,0.06982502527410805,True
SnowRelation,0.0015472173690795898,0.09472760562691006,True
TranslationRelation,0.0021294355392456055,0.1303736204109326,True
