mr,range_change,range_percent_change,range_passed
GlobalBlurRelation,0.00054168701171875,0.033222364522134465,True
GlobalBrightnessRelation,0.0038269758224487305,0.23471337329535272,True
GlobalContrastRelation,0.002106904983520508,0.12921920566993939,True
GlobalNoiseRelation,0.001972794532775879,0.12099403839718381,True
GlobalRotationRelation,0.002431631088256836,0.14913507735970485,True
GlobalTranslationRelation,0.0040847063064575195,0.2505203169786394,True
HazeRelation,0.001251816749572754,0.07677553913884992,True
NoiseRelation,8.71419906616211e-05,0.005344530912341614,True
RainRelation,0.003993391990661621,0.2449198919733676,True
RotationRelation,0.0002682209014892578,0.016450334545511126,True
SandstormRelation,0.001268625259399414,0.07780642677036861,True
SmokeRelation,0.0008237361907958984,0.05052080520421417,True
SnowRelation,0.0029774904251098633,0.1826133359747695,True
TranslationRelation,0.0007594823837280273,0.0465800361730895,True
BlurRelation,5.245208740234375e-05,0.0032167471133675543,True
BrightnessRelation,0.004942417144775391,0.30310530754595183,True
DustRelation,0.0016396045684814453,0.10055259044831213,True
FogRelation,0.000975489616394043,0.059824185519742494,True
GlobalBlurRelation,0.00054168701171875,0.033220224734414015,True
GlobalBrightnessRelation,0.0038269758224487305,0.23469825586463317,True
GlobalContrastRelation,0.002106904983520508,0.12921088291285943,True
GlobalNoiseRelation,0.001972794532775879,0.12098624540709012,True
GlobalRotationRelation,0.002431631088256836,0.1491254718601622,True
GlobalTranslationRelation,0.0040847063064575195,0.2505041814534983,True
HazeRelation,0.001251816749572754,0.07677059417607429,True
NoiseRelation,8.71419906616211e-05,0.0053441866815265495,True
RainRelation,0.003993391990661621,0.2449041171606811,True
RotationRelation,0.0002682209014892578,0.01644927501153863,True
SandstormRelation,0.001268625259399414,0.0778014154101307,True
SmokeRelation,0.0008237361907958984,0.05051755125765864,True
SnowRelation,0.0029774904251098633,0.1826015742058668,True
TranslationRelation,0.0007594823837280273,0.04657703604378338,True
BlurRelation,5.245208740234375e-05,0.0032167019614399222,True
BrightnessRelation,0.004942417144775391,0.30310105300295265,True
NoiseRelation,8.71419906616211e-05,0.005344111667755871,True
RainRelation,0.003993391990661621,0.24490067955971806,True
RotationRelation,0.0002682209014892578,0.016449044120999602,True
SmokeRelation,0.0008237361907958984,0.05051684216715878,True
SnowRelation,0.0029774904251098633,0.18259901111564758,True
TranslationRelation,0.0007594823837280273,0.046576382264394874,True
BlurRelation,5.245208740234375e-05,0.003218122502620711,True
BrightnessRelation,0.004942417144775391,0.3032349067242152,True
GlobalBrightnessRelation,0.0038269758224487305,0.23479860614007428,True
GlobalContrastRelation,0.002106904983520508,0.129266129798451,True
GlobalTranslationRelation,0.0040847063064575195,0.2506112898915879,True
HazeRelation,0.001251816749572754,0.07680341909095476,True
NoiseRelation,8.71419906616211e-05,0.00534647170321759,True
RainRelation,0.003993391990661621,0.24500883117111638,True
SandstormRelation,0.001268625259399414,0.07783468107474911,True
SnowRelation,0.0029774904251098633,0.18267964942717616,True
TranslationRelation,0.0007594823837280273,0.04659695105499216,True
BlurRelation,5.245208740234375e-05,0.00321731114892869,True
BrightnessRelation,0.004942417144775391,0.3031584550785989,True
DustRelation,0.0016396045684814453,0.10057022168719365,True
FogRelation,0.000975489616394043,0.05983467529928062,True
GlobalBlurRelation,0.00054168701171875,0.033226049683481744,True
GlobalBrightnessRelation,0.0038269758224487305,0.23473940866831308,True
GlobalContrastRelation,0.002106904983520508,0.12923353919583108,True
GlobalNoiseRelation,0.001972794532775879,0.12100745955368386,True
GlobalRotationRelation,0.002431631088256836,0.14915162003601687,True
GlobalTranslationRelation,0.0040847063064575195,0.25054810572282177,True
NoiseRelation,8.71419906616211e-05,0.005345123749697438,True
RainRelation,0.003993391990661621,0.24494705949536863,True
RotationRelation,0.0002682209014892578,0.016452159284294436,True
SandstormRelation,0.001268625259399414,0.07781505737931618,True
SmokeRelation,0.0008237361907958984,0.05052640917976648,True
SnowRelation,0.0029774904251098633,0.1826335921972543,True
TranslationRelation,0.0007594823837280273,0.04658520302232883,True
DustRelation,0.0016396045684814453,0.1002049824375021,True
FogRelation,0.000975489616394043,0.059617374675445665,True
GlobalBlurRelation,0.00054168701171875,0.03310538317551327,True
GlobalContrastRelation,0.002106904983520508,0.12876420383891318,True
GlobalNoiseRelation,0.001972794532775879,0.12056799871733474,True
GlobalRotationRelation,0.002431631088256836,0.14860994850662845,True
HazeRelation,0.001251816749572754,0.07650519998372907,True
NoiseRelation,8.71419906616211e-05,0.0053257119501100795,True
RainRelation,0.003993391990661621,0.24405748921578324,True
RotationRelation,0.0002682209014892578,0.01639241024315688,True
SandstormRelation,0.001268625259399414,0.07753245769230023,True
SmokeRelation,0.0008237361907958984,0.05034291323565068,True
SnowRelation,0.0029774904251098633,0.1819703247303686,True
BlurRelation,5.245208740234375e-05,0.003208520573227246,True
BrightnessRelation,0.004942417144775391,0.30233014310454914,True
ContrastRelation,0.00015592575073242188,0.009538056613139176,True
DustRelation,0.0016396045684814453,0.10029543628219896,True
FogRelation,0.000975489616394043,0.059671190569814896,True
GlobalBlurRelation,0.00054168701171875,0.0331352670107832,True
GlobalBrightnessRelation,0.0038269758224487305,0.23409803627798698,True
GlobalContrastRelation,0.002106904983520508,0.12888043775276897,True
GlobalNoiseRelation,0.001972794532775879,0.12067683401440386,True
GlobalRotationRelation,0.002431631088256836,0.14874409693793036,True
GlobalTranslationRelation,0.0040847063064575195,0.24986353964007177,True
HazeRelation,0.001251816749572754,0.07657426031695297,True
RainRelation,0.003993391990661621,0.24427779700577162,True
RotationRelation,0.0002682209014892578,0.016407207476730235,True
SandstormRelation,0.001268625259399414,0.07760244531882807,True
SmokeRelation,0.0008237361907958984,0.05038835718409152,True
TranslationRelation,0.0007594823837280273,0.04645791948188815,True
BlurRelation,5.245208740234375e-05,0.003211352683245275,True
BrightnessRelation,0.004942417144775391,0.30259700510761156,True
DustRelation,0.0016396045684814453,0.10038396546671706,True
FogRelation,0.000975489616394043,0.05972386137953655,True
GlobalBlurRelation,0.00054168701171875,0.03316451498333302,True
GlobalBrightnessRelation,0.0038269758224487305,0.2343046708868706,True
GlobalNoiseRelation,0.001972794532775879,0.12078335353415011,True
GlobalRotationRelation,0.002431631088256836,0.1488753909837207,True
GlobalTranslationRelation,0.0040847063064575195,0.25008409020772576,True
HazeRelation,0.001251816749572754,0.0766418511971787,True
NoiseRelation,8.71419906616211e-05,0.00533522457148249,True
RotationRelation,0.0002682209014892578,0.016421689857504244,True
SandstormRelation,0.001268625259399414,0.0776709437615823,True
SmokeRelation,0.0008237361907958984,0.050432834184601934,True
SnowRelation,0.0029774904251098633,0.18229535447594825,True
TranslationRelation,0.0007594823837280273,0.04649892714762647,True
